,2015/11/16 00:00:03
1,Dizzy?,1510,0
2,Mumin谷??,1504,0
3,トムソン??,1500,0
4,☆☆ながれ星彡,1447,9
5,Ra?ffine,1428,7
6,上位目指す隊?,1399,0
7,嵐山,1399,7
8,ばよえ?ん。,1399,8
9,まるむすてぃ?ん,1375,7
10,さんらいず??,1369,10
11,†とわいらいと†,1325,6
12,早乙女学園?,1287,7
13,祝RedbuII,1262,6
14,さんせっと??,1253,6
15,?いちごぷよ隊?,1239,2
16,えすぽらーず,1227,9
17,カーバンクル,1200,1
18,谷口ぴーまん,1199,8
19,tipo,1194,7
20,かもみ〜るかふぇ,1186,5
21,赤い妖精,1184,6
22,たいようのほこら,1171,5
23,ぴんぽーん,1156,7
24,だらゴロ・囚・,1135,6
25,☆命蓮寺☆,1134,10
26,?Ｃlair?,1130,6
27,Luxillia,1124,8
28,ねこたらんど,1119,6
29,ももピーチ帝国,1113,9
30,Antenna,1112,8
31,?怪盗スケルトン,1109,7
32,ぷよクエ楽しみ隊,1099,2
33,かおりワールド,1099,1
34,淡麗生!!,1099,3
35,かわいいはせいぎ,1092,6
36,MYM318☆彡,1089,4
37,プリンシパル☆彡,1088,6
38,にゃ?んだふる♪,1087,5
39,†魔導学校†,1087,8
40,LovE?,1086,6
41,にないか,1086,7
42,無課金こそ愉悦!,1086,6
43,ＢＢ団,1081,7
44,賢者モード,1081,7
45,ぷよビ〜ッチ☆,1079,7
46,からあげ流星群,1079,5
47,ねこずき,1070,5
48,やわらかギルド,1066,5
49,ミッドガルド?,1065,3
50,いえろ〜こんび♪,1062,8
51,V.I.P.,1061,6
52,ねこぽよ軍??,1061,6
53,★エーミール★,1053,7
54,Lαvｉn&#039;υ?,1052,5
55,ぷよろう会,1044,3
56,無KG板ギルド,1044,6
57,一生を寝てい隊,1041,6
58,果物の缶詰,1040,4
59,自由都市ももにち,1036,7
60,Law@,1030,3
61,とれっきんぐ,1023,6
62,ぼっち同盟,1022,5
63,お笑い?研究府,1018,4
64,2chスレギルド,1016,3
65,★愉快な仲間達☆,1012,4
66,パンダ百匹！！,1012,4
67,ファンタビーチ,1011,2
68,ひろす,1010,5
69,ブルーウィング,1009,5
70,BestLuck,1009,7
71,Buzz?,1007,3
72,?アンシェル?,1002,2
73,佐久間上水,1002,3
74,同じ穴のぷよら〜,1002,3
75,ちょびぎるど,1001,2
76,遊戯都市第七地区,999,4
77,手製ぷよ,999,10
78,Ｋ２,996,9
79,チームかわいい,994,9
80,ぷよっとパニック,989,7
81,祝！ＳＳあひる組,985,10
82,?KoB?,978,9
83,みなとみらい,976,8
84,トウーンタウン,975,8
85,Gunners!,974,8
86,うさぎの巣?,971,9
87,ウィッチ魔法学院,968,6
88,let&#039;sぷよ！,967,10
89,チームかつをぶし,966,8
90,☆マーロボカフェ,965,6
91,早起は三文のとく,963,8
92,ラフィ亭,954,5
93,???☆,954,5
94,AGILE,952,7
95,SPIRAL★彡,952,11
96,パーミテーション,948,7
97,Blackチョコ,948,9
98,猫好き仙人界,947,8
99,六猫?おーき軍,944,8
100,ジュビレーション,942,7
101,陽だまりのねこ?,934,6
102,ぐみぷよ,930,8
103,コンパイルクラブ,927,9
104,エランド,920,7
105,TEREON&#039;s,904,7
106,お腹@ばよ?支店,901,10
107,まったり勢。,901,8
108,かーくんギルド,885,8
109,ももぐみ,884,7
110,楽しく遊ぶ団,883,7
111,じゅげむ♪♪,881,9
112,すたんどあっぷ,879,6
113,ぷよく鉛筆?HB,878,8
114,ほうきぼし,877,8
115,コスモツリー,877,6
116,ギルド一ナツ,869,8
117,COLORS＊*,862,8
118,Tぷよ軍団,862,6
119,サークルフォイ,859,6
120,チームやどかり,859,9
121,ねこのうにメロン,859,7
122,シルバーシープ?,859,9
123,ぷよクエRUSH,858,8
124,北の大地☆人情派,858,6
125,風来のぷよ使い,858,6
126,Sirius?,857,6
127,?月蝕雑技団?,852,6
128,?水守革命?,852,7
129,みなみけ,850,5
130,ぷにっぷに〜！,849,7
131,L?VE,848,8
132,Promis?,848,9
133,ぷよよん同盟,847,6
134,わふー(＞ω＜),845,6
135,みんなでぷよぷよ,844,8
136,あるぱっか牧場,844,9
137,にゃまにゃま,841,5
138,でぃあれすと,839,6
139,?地獄の3丁目?,838,7
140,しーこ,836,6
141,あわわっ子,836,5
142,will,835,7
143,真紅の世界へGO,833,5
144,Rash☆TM,833,6
145,ぷよりすと♪,833,6
146,ぷよります会☆,827,8
147,ぷよよよよよん?,826,7
148,エリザベート21,824,7
149,ArcadiA,820,7
150,ぷにょぷにん?,819,5
151,?ぷよりんず?,816,6
152,Clock,815,8
153,☆月のうさぎ☆,812,5
154,きずな☆タワー,812,6
155,マミーポコ,811,5
156,CMB,810,4
157,セカハナの卵?,810,6
158,魔神宮,809,8
159,おいもいも,804,6
160,けにくら！,804,out_of_rank
161,猫娘。亭,803,5
162,☆ぷよザイル☆,797,7
163,自由空間五色の館,794,6
164,まったりにゃーん,794,6
165,脳みそコネコネ,794,7
166,joyfull☆,785,5
167,おこたでアイス,784,6
168,オワニモ時空転移,783,7
169,あおいの御紋,781,6
170,がんばりまっくす,780,6
171,＊みるふぃーゆ＊,776,9
172,?ふぇんりる?,775,6
173,《無課金戦隊》,775,5
174,HOKKAIDO,775,6
175,掲示板をみてね♪,774,5
176,KYUSHU沖縄,774,8
177,チームさかな,773,6
178,Liberty☆,772,6
179,Ψ祝きたからS,771,7
180,アクアベール,769,6
181,らららコッペパン,768,4
182,ますさん,768,5
183,グラン・シャリオ,766,7
184,Lipton　,765,6
185,きまぐれいやー,765,7
186,チームハマー,764,5
187,会話なしギルド,764,5
188,ピタゴラスイッチ,764,5
189,?上弦の月?,762,7
190,Pu---Yo,758,7
191,クンパルシータ,758,6
192,あまぐり,758,7
193,ふぁくとり〜♪,755,5
194,チビコロ☆,754,5
195,かーにばる☆彡,749,4
196,うたうんだ村,749,5
197,水曜日は野菜の日,749,5
198,∞ぷるんちょ∞,747,6
199,しろくまっ☆,746,7
200,JanneABC,744,5
201,進撃の無課金兵団,744,6
202,たけのこ派！,744,6
203,東京特許許可局,742,3
204,??????,742,4
205,マリンバトル,741,5
206,輝きみーつぉー,739,5
207,にくきゅう,739,8
208,既製ぷよ@隠居,739,7
209,ナノクローム,736,6
210,黝ぷよ騎士団,736,8
211,のんびり☆きまま,734,5
212,コンパイル懐古会,734,5
213,ぷ(♪-∀-)よ,732,6
214,宮崎藩?,731,4
215,毎日猫をもふり隊,731,6
216,参加は自由でした,731,8
217,のんびり仲良く,729,4
218,新生メタファリカ,729,5
219,育成しなイカ？,729,8
220,地球は緑かった,729,6
221,?絶頂RUSH?,729,6
222,ぷよラテ,729,5
223,花橘,729,6
224,ぱお〜ん！,728,3
225,月の雫?.｡?°,727,6
226,スイ?トヨコヅナ,726,6
227,ポレポレ村夢番地,725,5
228,ガウェイン,725,5
229,こんぱいるクラブ,725,7
230,レプレ,724,6
231,?のんびり隠居?,724,5
232,るりあん♪,724,6
233,鎌倉幕府,724,6
234,いちにさん???,719,5
235,風鈴ちりんΦ彡,719,5
236,お手紙ちょ〜だぃ,718,7
237,(?ω?)о〇,717,5
238,ペンギン7匹☆彡,711,5
239,ミカン,711,6
240,ボギャーン,709,5
241,絆?KIZUNA,709,5
242,†Bible†,709,6
243,比翼の不死鳥,709,7
244,パーピュア,708,8
245,☆りぼーん☆,704,4
246,甘いのが好き,703,9
247,モヤ2さまぁ〜ず,703,8
248,☆まりもの里☆,702,7
249,ガンバ?お疲れ,702,out_of_rank
250,goro&#039;s,702,6
251,にわかあめ,701,7
252,凱歌ノ記憶,700,9
253,カラマギア,700,7
254,?ほんわカニ鍋?,699,6
255,アウトランナーズ,699,8
256,無課金修行部,699,5
257,ウォッカコーヒー,697,4
258,秘密のお菓子工房,697,6
259,ウィッチ様FC,697,6
260,☆きずな☆,695,5
261,しろぷよ♪,695,5
262,ＬＥ?ＣＩＥＬ,694,out_of_rank
263,オレオ*,694,5
264,のびのびふもっふ,694,5
265,?こはるんるん?,694,7
266,LxStella,692,6
267,Ragnar?k,692,7
268,ぴーちゃん隊,691,3
269,ぷーぷよギルド,690,6
270,ブラザーフット,690,7
271,?七色の愛情??,689,4
272,ぷよぷよTime,689,7
273,ほげほげの里,688,4
274,ぷよぷよ艦隊,688,8
275,nOa,688,6
276,1日1時間まで,687,6
277,のんびりギル,686,4
278,虹-niji-,683,4
279,ルーエンハイム,683,5
280,ぷよぷよ通！？,682,3
281,プヨクエ海賊団,681,4
282,モノクロドーナツ,681,5
283,連鎖反応☆NEO,680,7
284,こでまりテラス,679,5
285,（株）ぷよぷよ,679,9
286,ぼっち魔導師っ！,679,4
287,めろんぱんず,679,6
288,ナゾプヨ,679,6
289,☆目指せＳ組☆,678,5
290,ΑLLFREE,677,4
291,のりのりキノコ?,677,6
292,むかきんぐだーむ,677,5
293,毎度おおきに！,676,4
294,みすてりあす。,676,7
295,ピーナッツ☆彡,676,5
296,のりのりトマト?,674,5
297,ルイーダの酒場,673,5
298,ニャンコさん,671,5
299,ゼロ鎮魂歌,671,5
300,redwing,671,6
301,だいふくギルド,669,5
302,おいしいみかん,669,5
303,隣の芝生,669,7
304,猪突猛進,668,4
305,かみまみた♪,667,5
306,TUTAYA川越,666,5
307,祝！S！まろん茶,663,6
308,ぺこりーの♪,662,7
309,アオハライド☆彡,661,3
310,モモレオ,661,5
311,チーム〆SD〆,660,2
312,美味しい紅茶の泉,660,5
313,◆大人ギルド◆,659,3
314,Fate#Ω#,659,7
315,神聖まけまけ帝国,658,5
316,黄色鳥OP大作戦,658,5
317,Lilac?,657,5
318,?Nadja?,657,3
319,水パ,656,5
320,★リトルスター★,654,3
321,働くおじさん,653,5
322,アレドロ☆?☆,652,2
323,藤原豆腐店,649,4
324,ぷよぷよし,648,out_of_rank
325,VIVO,647,3
326,ゴゴゴゴゴ,647,5
327,スナ,647,5
328,ぷよずねっと,647,6
329,チームお代官様,646,5
330,?ISLAND?,646,5
