,2016/07/07 22:21:10
TARGET
Dizzy,1600
,
,
Mumin,1600
,
,
さんらいず,1600
,
,
嵐山,1600
,
,
トムソン,1600
,
,
ながれ,1599
,
,
ALL
1位,1600,Dizzy
2位,1600,Mumin谷
3位,1600,さんらいず
4位,1600,嵐山
5位,1600,トムソン
6位,1599,☆☆ながれ星彡
7位,1599,上位目指す隊
8位,1566,ばよえ～ん。
9位,1564,えすぽらーず
10位,1549,まるむすてぃーん
11位,1539,赤い妖精
12位,1519,早乙女学園
13位,1499,Raffine
14位,1499,さんせっと
15位,1479,谷口ぴーまん
16位,1469,†とわいらいと†
17位,1458,Lipton　
18位,1449,Antenna
19位,1449,カーバンクル
20位,1439,☆命蓮寺☆
21位,1439,ぴんぽーん
22位,1437,RedbuII
23位,1422,いちごぷよ隊
24位,1419,賢者モード
25位,1410,LovE
26位,1410,プリンシパル☆彡
27位,1409,ファンタビーチ
28位,1409,ねこたらんど
29位,1409,とれっきんぐ
30位,1403,やわらかギルド
31位,1399,ももにち！
32位,1399,同じ穴のぷよら～
33位,1399,ねこずき
34位,1399,だららんゴロゴロ
35位,1399,★愉快な仲間達☆
36位,1399,かもみ～るかふぇ
37位,1398,からあげ流星群
38位,1397,にないか
39位,1394,Ｃlair
40位,1381,ぷよクエ楽しみ隊
41位,1353,Lαviｎ'υ
42位,1350,Luxillia
43位,1349,ＢＢ団
44位,1349,Buzz
45位,1347,ぷよビ～ッチ☆
46位,1345,★エーミール★
47位,1342,ねこぽよ軍
48位,1338,果物の缶詰
49位,1323,にゃ～んだふる♪
50位,1320,かわいいはせいぎ
51位,1319,ぐみぷよ
52位,1318,無課金こそ愉悦!
53位,1315,Law@
54位,1310,チームかつをぶし
55位,1305,BestLuck
56位,1299,無KG板ギルド
57位,1299,遊戯都市第七地区
58位,1299,ももピーチ帝国
59位,1299,コスモツリー
60位,1295,ぷよろう会
61位,1285,ちょびぎるど
62位,1284,お笑い研究亭
63位,1281,淡麗生!!
64位,1280,うさぎの巣_
65位,1275,ぷよクエRUSH
66位,1268,チームさかな
67位,1256,V.I.P.
68位,1256,怪盗スケルトン
69位,1253,☆ネコカフェ☆
70位,1250,ブルーウィング
71位,1249,みなとみらい
72位,1249,パンダ100匹！
73位,1249,陽だまりのねこ
74位,1249,コンパイルクラブ
75位,1249,Agile
76位,1247,手製ぷよ
77位,1235,おまつりタウン
78位,1232,ラフィ亭
79位,1231,2chスレギルド
80位,1229,一生を寝てい隊
81位,1229,ウィッチ魔法学院
82位,1228,_かおりワールド
83位,1220,あるぱっか牧場
84位,1216,サークルフォイ
85位,1215,おこたでアイス
86位,1210,Ｋ２
87位,1207,みんなでぷよぷよ
88位,1202,_KoB_
89位,1201,CMB
90位,1200,六猫おーき軍
91位,1200,ぷよりすと♪
92位,1199,早起は三文のとく
93位,1199,風来のぷよ使い
94位,1199,もち猫カルテット
95位,1199,たいようのほこら
96位,1199,あわわっ子
97位,1199,すたんどUp☆彡
98位,1199,しーこ
99位,1199,SPIRAL★彡
100位,1199,セカハナの卵
101位,1193,マミーポコ♪
102位,1186,プヨクエ海賊団
103位,1180,運命石の扉
104位,1167,佐久間上水
105位,1160,かーくんギルド
106位,1157,ぷよよん同盟
107位,1145,☆りぼーん☆
108位,1142,シルバーシープ
109位,1141,ジュビレーション
110位,1140,ひろす
111位,1133,nOa
112位,1132,パーミテーション
113位,1130,☆月のうさぎ☆
114位,1130,でぃあれすと
115位,1130,猫好き仙人界
116位,1129,楽しく遊ぶ団
117位,1129,will
118位,1128,地獄の3丁目
119位,1127,わふー(＞ω＜)
120位,1124,†魔導学校†
121位,1124,アクアベール
122位,1120,Tぷよ軍団
123位,1120,Promis
124位,1118,いえろ～こんび♪
125位,1116,じゅげむ♪♪
126位,1114,進撃の無課金兵団
127位,1110,TEREON's
128位,1110,flower
129位,1109,宮崎藩
130位,1108,LVE
131位,1107,Rash☆TM
132位,1107,にくきゅう
133位,1104,上弦の月
134位,1103,にゃまにゃま
135位,1102,ももぐみ
136位,1101,レベルアーップ！
137位,1100,絆KIZUNA
138位,1099,祝HALU800
139位,1099,たけのこ派！
140位,1099,ΑLL_FREE
141位,1099,まったり勢。
142位,1089,いちにさん
143位,1089,アンシェル
144位,1081,ぼっち魔導師っ！
145位,1075,りらっくすたいむ
146位,1075,まったりにゃーん
147位,1075,ぷよよよよよん
148位,1073,コンパイル懐古会
149位,1071,☆ぷよザイル☆
150位,1069,Blackチョコ
151位,1069,みなみけ
152位,1069,☆ほんわか☆
153位,1069,むかきんぐだーむ
154位,1064,魔神宮
155位,1063,あおいの御紋
156位,1061,おいしいみかん
157位,1061,ナノクローム
158位,1057,お腹@ばよ～支店
159位,1057,ぷよっとパニック
160位,1054,_ほうきぼし
161位,1052,きまぐれいやー
162位,1051,JINN’
163位,1051,クンパルシータ
164位,1050,ΣΘ)βきたから
165位,1049,JanneABC
166位,1049,月蝕雑技団
167位,1049,レプレ
168位,1048,輝きみーつぉー
169位,1048,猫娘。亭
170位,1047,誤字まり商事㈱
171位,1047,Gunners!
172位,1045,にわかあめ
173位,1045,かーにばる☆彡
174位,1041,ぷよりんず
175位,1039,チビコロ☆
176位,1037,エランド
177位,1035,のんびり☆きまま
178位,1031,エリザベート21
179位,1031,カラマギア
180位,1029,チームハマー
181位,1028,自由な水族館
182位,1027,ArcadiA
183位,1027,エクレアシェノン
184位,1027,J&G
185位,1026,ウィッチ様FC
186位,1025,毎度おおきに！
187位,1024,連鎖反応☆NEO
188位,1022,しろくまっ☆
189位,1021,スナ
190位,1020,北の大地☆人情派
191位,1019,全力マッタリーナ
192位,1018,Phoenix☆
193位,1016,あひるたぃちょ組
194位,1013,ルーエンハイム
195位,1012,グラン・シャリオ
196位,1011,楽ぷよＣＬＵＢ
197位,1010,ぷよぷよ艦隊
198位,1009,aLLLight
199位,1009,しろぷよ♪
200位,1005,ぱお～ん！！
201位,1001,マリンバトル
202位,1000,レッツモーフィン
203位,999,気ままに組
204位,999,～のんびり隠居～
205位,999,WeLOVEぷよ
206位,999,ぷにょぷにん
207位,999,ぬゅるす
208位,999,ガンバ募集中
209位,999,鎌倉幕府
210位,997,Pu---Yo
211位,997,のんびりギル
212位,996,Liberty☆
213位,996,月の光　∮
214位,996,Ragnark
215位,995,ゼロ鎮魂歌
216位,994,melody
217位,993,チームやどかり
218位,993,参加は自由でした
219位,991,ぷ(♪-∀-)よ
220位,991,花橘
221位,989,らららコッペパン
222位,988,Clock
223位,987,ぷにっぷに～！
224位,985,ふぇんりる
225位,982,アオハライド☆彡
226位,980,∞ぷるんちょ∞
227位,980,わんうぇいあっぷ
228位,979,☆
229位,976,ダムダムブルー
230位,976,カラフル
231位,975,凱歌ノ記憶
232位,972,みすてりあす。
233位,971,まちょー
234位,971,黝ぷよ騎士団
235位,970,★リトルスター★
236位,970,脳みそコネコネ
237位,964,美味しい紅茶の泉
238位,964,ぷよぷよTime
239位,961,きずなタワー
240位,960,きなこもち＊
241位,958,スイ－トヨコヅナ
242位,957,KMコミュニティ
243位,957,ピタゴラスイッチ
244位,957,ナゾプヨ
245位,957,goro's
246位,955,_
247位,955,おのゴリちゃん
248位,955,_☆きずな☆
249位,954,ゴルゴ11
250位,953,おいもいも
251位,951,ポレポレ村夢番地
252位,950,_Nadja
253位,950,虹-niji-
254位,950,超初心者ポコリン
255位,950,bookworm
256位,949,アシュブロ☆
257位,948,ウォッカコーヒー
258位,944,Fate#Ω#
259位,942,Sirius
260位,942,真☆碧茶
261位,940,水守革命
262位,939,joyfull☆
263位,939,みるふぃーゆ♪
264位,937,モヤ2さまぁ～ず
265位,937,チームお代官様
266位,936,ミッドガルド
267位,934,めろんぱんず
268位,934,働くおじさん
269位,932,ふぁくとり～♪
270位,930,会話なしギルド
271位,929,アウトランナーズ
272位,929,モモレオ
273位,929,ゆるくやろう
274位,927,ぷよります会
275位,925,(_ω)о〇
276位,925,比翼の不死鳥
277位,925,みつばさんち
278位,925,P-STYLE
279位,925,オールフォーワン
280位,924,既製ぷよ@隠居
281位,924,のんびり仲良く
282位,921,ＬＥ－ＣＩＥＬ
283位,921,MYM318☆彡
284位,921,ピルクル500
285位,920,無課金修行部
286位,920,ぷよラテ
287位,920,月の雫.。°
288位,920,L_T_E
289位,919,ex-☆
290位,919,オワニモ時空転移
291位,917,錬金術協会
292位,917,ギルドチャンプ
293位,916,七色きかちゅう
294位,915,☆ＳＴＹ☆
295位,914,水パ
296位,911,文化の森
297位,910,UNICORN
298位,910,風鈴ちりんΦ彡
299位,909,こんぱいるクラブ
300位,909,藤原豆腐店
301位,907,だいふくギルド
302位,906,猪突猛進
303位,905,神聖まけまけ帝国
304位,904,ここ(*≧艸≦)
305位,904,元気ハツラツ！
306位,903,asoVIVA
307位,903,あのぎるど
308位,901,赤い彗星のニャア
309位,901,＊みるふぃーゆ＊
310位,900,☆Ｓロード☆
311位,899,ねこのうにメロン
312位,899,HOKKAIDO
313位,899,ルイーダの酒場
314位,899,がんばりまっくす
315位,899,ちーむ★ぷよ
316位,899,ずきゅーん♪
317位,898,常夏のお菓子工房
318位,895,青空団♪
319位,895,けにくら！
320位,893,ドリームポポ♪
321位,890,まろん茶
322位,889,チームぐっぐぐー
323位,889,猫レンジャイ！
324位,889,†Bible†
325位,888,蒼天ぷよ
326位,887,ラフィーナ連邦
327位,887,まいぺぃす
328位,885,寝ながら進む。
329位,883,ぷよ☆黄色連合♪
330位,882,旅立(^O^)
TARGET
BORDER
1位,1600
,
,
10位,1549
,
,
30位,1403
,
,
300位,909
,
,
1000位,612
,
,
3000位,409
,
,
10000位,186
,
,
30000位,31
,
,
50000位,0
,
,
80000位,0
,
,
100000位,0
,
,
200000位,0
,
,
500000位,0
,
,
